task_label,num_train,train_input_widths,train_input_heights,train_output_widths,train_output_heights,test_input_width,test_input_height,test_output_width,test_output_height,unique_colors
007bbfb7.json,5,"[3, 3, 3, 3, 3]","[3, 3, 3, 3, 3]","[9, 9, 9, 9, 9]","[9, 9, 9, 9, 9]",[3],[3],[9],[9],"[0, 2, 4, 6, 7]"
00d62c1b.json,5,"[6, 10, 10, 10, 20]","[6, 10, 10, 10, 20]","[6, 10, 10, 10, 20]","[6, 10, 10, 10, 20]",[20],[20],[20],[20],"[0, 3, 4]"
017c7c7b.json,3,"[3, 3, 3]","[6, 6, 6]","[3, 3, 3]","[9, 9, 9]",[3],[6],[3],[9],"[0, 1, 2]"
025d127b.json,2,"[9, 9]","[14, 8]","[9, 9]","[14, 8]",[10],[10],[10],[10],"[0, 2, 4, 6, 8]"
045e512c.json,3,"[21, 21, 21]","[21, 21, 21]","[21, 21, 21]","[21, 21, 21]",[21],[21],[21],[21],"[0, 1, 2, 3, 4, 5, 6, 8]"
0520fde7.json,3,"[7, 7, 7]","[3, 3, 3]","[3, 3, 3]","[3, 3, 3]",[7],[3],[3],[3],"[0, 1, 2, 5]"
05269061.json,3,"[7, 7, 7]","[7, 7, 7]","[7, 7, 7]","[7, 7, 7]",[7],[7],[7],[7],"[0, 1, 2, 3, 4, 8]"
05f2a901.json,3,"[9, 10, 10]","[14, 9, 11]","[9, 10, 10]","[14, 9, 11]",[10],[11],[10],[11],"[0, 2, 8]"
06df4c85.json,3,"[20, 23, 23]","[20, 23, 23]","[20, 23, 23]","[20, 23, 23]",[26],[26],[26],[26],"[0, 1, 2, 3, 4, 8, 9]"
08ed6ac7.json,2,"[9, 9]","[9, 9]","[9, 9]","[9, 9]",[9],[9],[9],[9],"[0, 1, 2, 3, 4, 5]"
09629e4f.json,4,"[11, 11, 11, 11]","[11, 11, 11, 11]","[11, 11, 11, 11]","[11, 11, 11, 11]",[11],[11],[11],[11],"[0, 2, 3, 4, 5, 6, 8]"
0962bcdd.json,2,"[12, 12]","[12, 12]","[12, 12]","[12, 12]",[12],[12],[12],[12],"[0, 2, 3, 4, 6, 7, 8]"
0a938d79.json,4,"[25, 23, 9, 8]","[10, 7, 22, 24]","[25, 23, 9, 8]","[10, 7, 22, 24]",[27],[11],[27],[11],"[0, 1, 2, 3, 4, 8]"
0b148d64.json,3,"[21, 19, 17]","[21, 18, 19]","[10, 9, 6]","[10, 7, 9]",[17],[15],[6],[6],"[0, 1, 2, 3, 4, 8]"
0ca9ddb6.json,3,"[9, 9, 9]","[9, 9, 9]","[9, 9, 9]","[9, 9, 9]",[9],[9],[9],[9],"[0, 1, 2, 4, 6, 7, 8]"
0d3d703e.json,4,"[3, 3, 3, 3]","[3, 3, 3, 3]","[3, 3, 3, 3]","[3, 3, 3, 3]",[3],[3],[3],[3],"[1, 2, 3, 4, 5, 6, 8, 9]"
0dfd9992.json,3,"[21, 21, 21]","[21, 21, 21]","[21, 21, 21]","[21, 21, 21]",[21],[21],[21],[21],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
0e206a2e.json,3,"[18, 15, 14]","[14, 14, 16]","[18, 15, 14]","[14, 14, 16]",[19],[24],[19],[24],"[0, 1, 2, 3, 4, 5, 8]"
10fcaaa3.json,4,"[4, 4, 3, 4]","[2, 3, 5, 4]","[8, 8, 6, 8]","[4, 6, 10, 8]",[5],[6],[10],[12],"[0, 2, 3, 4, 5, 6, 8]"
11852cab.json,3,"[10, 10, 10]","[10, 10, 10]","[10, 10, 10]","[10, 10, 10]",[10],[10],[10],[10],"[0, 1, 2, 3, 4, 8]"
1190e5a7.json,3,"[15, 11, 27]","[15, 11, 27]","[4, 2, 5]","[2, 3, 6]",[22],[22],[3],[5],"[1, 3, 5, 7, 8]"
137eaa0f.json,3,"[11, 11, 11]","[11, 11, 11]","[3, 3, 3]","[3, 3, 3]",[11],[11],[3],[3],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
150deff5.json,3,"[11, 10, 9]","[9, 8, 8]","[11, 10, 9]","[9, 8, 8]",[11],[8],[11],[8],"[0, 2, 5, 8]"
178fcbfb.json,3,"[9, 8, 11]","[9, 10, 10]","[9, 8, 11]","[9, 10, 10]",[11],[12],[11],[12],"[0, 1, 2, 3]"
1a07d186.json,3,"[19, 14, 16]","[18, 15, 15]","[19, 14, 16]","[18, 15, 15]",[26],[19],[26],[19],"[0, 1, 2, 3, 4, 8]"
1b2d62fb.json,5,"[7, 7, 7, 7, 7]","[5, 5, 5, 5, 5]","[3, 3, 3, 3, 3]","[5, 5, 5, 5, 5]",[7],[5],[3],[5],"[0, 1, 8, 9]"
1b60fb0c.json,3,"[10, 10, 10]","[10, 10, 10]","[10, 10, 10]","[10, 10, 10]",[10],[10],[10],[10],"[0, 1, 2]"
1bfc4729.json,2,"[10, 10]","[10, 10]","[10, 10]","[10, 10]",[10],[10],[10],[10],"[0, 1, 2, 4, 6, 7, 8]"
1c786137.json,3,"[21, 16, 18]","[23, 13, 17]","[8, 3, 10]","[6, 5, 8]",[16],[17],[9],[8],"[0, 1, 2, 3, 4, 5, 6, 8, 9]"
1caeab9d.json,3,"[10, 10, 10]","[5, 10, 5]","[10, 10, 10]","[5, 10, 5]",[10],[10],[10],[10],"[0, 1, 2, 4]"
